Distance,Angle,Velocity
0.335938,-23.4729,-0.15625
0.335938,-23.4729,-0.15625
0.335938,-23.4729,-0.15625
0.335938,-23.4729,-0.15625
0.335938,-23.4729,-0.15625
0.335938,-23.4729,-0.15625
0.332031,-23.9886,-0.117188
0.332031,-23.9886,-0.117188
0.332031,-23.9886,-0.117188
0.332031,-23.9886,-0.117188
0.332031,-23.9886,-0.117188
0.332031,-23.9886,-0.117188
0.332031,-23.9886,-0.117188
0.328125,-24.0805,-0.0390625
0.328125,-24.0805,-0.0390625
0.328125,-24.0805,-0.0390625
0.328125,-24.0805,-0.0390625
0.328125,-24.0805,-0.0390625
0.328125,-24.0805,-0.0390625
0.335938,-24.4008,0.0
0.335938,-24.4008,0.0
0.335938,-24.4008,0.0
0.335938,-24.4008,0.0
0.335938,-24.4008,0.0
0.335938,-24.4008,0.0
0.339844,-24.8027,0.0
0.339844,-24.8027,0.0
0.339844,-24.8027,0.0
0.339844,-24.8027,0.0
0.339844,-24.8027,0.0
0.339844,-24.8027,0.0
0.347656,-25.2117,0.0
0.347656,-25.2117,0.0
0.347656,-25.2117,0.0
0.347656,-25.2117,0.0
0.347656,-25.2117,0.0
0.347656,-25.2117,0.0
0.347656,-25.2117,0.0
0.351562,-25.6183,0.0
0.351562,-25.6183,0.0
0.351562,-25.6183,0.0
0.351562,-25.6183,0.0
0.351562,-25.6183,0.0
0.351562,-25.6183,0.0
0.359375,-26.0145,0.0
0.359375,-26.0145,0.0
0.359375,-26.0145,0.0
0.359375,-26.0145,0.0
0.359375,-26.0145,0.0
0.359375,-26.0145,0.0
0.363281,-26.3574,0.0
0.363281,-26.3574,0.0
0.363281,-26.3574,0.0
0.363281,-26.3574,0.0
0.363281,-26.3574,0.0
0.363281,-26.3574,0.0
0.367188,-26.7073,0.0
0.367188,-26.7073,0.0
0.367188,-26.7073,0.0
0.367188,-26.7073,0.0
0.367188,-26.7073,0.0
0.367188,-26.7073,0.0
0.367188,-26.7073,0.0
0.375,-27.0543,0.0
